title,description,link,source,author,published,scraped_at,guid
Meet the French mayor who hung Israeli flags and a hostage banner on his City Hall,"Leading Nice, the 5th-largest metropolitan area in France, the self-described 'Jew at heart' Christian Estrosi bucks opposition - and death threats - in his stalwart defense of Israel The post Meet the French mayor who hung Israeli flags and a hostage banner on his City Hall appeared first on The Times of Israel .",https://www.timesofisrael.com/meet-the-french-mayor-who-hung-israeli-flags-and-a-hostage-banner-on-his-city-hall/,Times of Israel,,2025-10-31T05:52:20,2025-10-31 06:13:00.792792,https://www.timesofisrael.com/?p=3661349
Freed hostage Alon Ohel plays piano on ‘Eretz Nehederet’,"Ohel, wearing a patch on his right eye due to untreated injuries he sustained on October 7, grinned from time to time during the performance of 'Under the Sky' The post Freed hostage Alon Ohel plays piano on ‘Eretz Nehederet’ appeared first on The Times of Israel .",https://www.timesofisrael.com/freed-hostage-alon-ohel-plays-piano-on-eretz-nehederet/,Times of Israel,,2025-10-31T04:13:04,2025-10-31 05:09:57.682782,https://www.timesofisrael.com/?p=3677953
Turkish basketball team Fenerbahce to play home games against Israeli teams in Munich,"Decision comes as EuroLeague set to hold games in Israel beginning December 1, the first sports matches to return since the war began The post Turkish basketball team Fenerbahce to play home games against Israeli teams in Munich appeared first on The Times of Israel .",https://www.timesofisrael.com/turkish-basketball-team-fenerbahce-to-play-home-games-against-israeli-teams-in-munich/,Times of Israel,,2025-10-31T04:42:58,2025-10-31 05:09:57.682729,https://www.timesofisrael.com/?p=3677957
Hamas is exploiting the cease-fire troubles to strengthen in Gaza before Trump's patience wears thin,"Trump maintains that the Gaza cease-fire will hold, but that doesn't mean Hamas or Israel want it to. Despite the recent clashes, the slow return of hostages' bodies and Hamas provocations, there is no sign that Washington will let Netanyahu batter Hamas",https://www.haaretz.com/israel-news/2025-10-31/ty-article/.premium/hamas-exploits-cease-fire-woes-to-strengthen-in-gaza-before-trumps-patience-wears-thin/0000019a-36b4-ddf1-a1db-fefdfe070000,Haaretz,Amos Harel,2025-10-31T04:01:17,2025-10-31 04:11:25.385854,https://www.haaretz.com/israel-news/2025-10-31/ty-article/.premium/hamas-exploits-cease-fire-woes-to-strengthen-in-gaza-before-trumps-patience-wears-thin/0000019a-36b4-ddf1-a1db-fefdfe070000
"IDF Oct 7 probe lauds Ein Habesor security squad, residents; army failed to defend community","Members of the security squad and other residents also extricated, treated and evacuated the wounded that day, 'independently and in a praiseworthy manner,' the report said",https://www.haaretz.com/israel-news/2025-10-31/ty-article/.premium/idf-oct-7-probe-lauds-ein-habesor-security-squad-army-failed-to-defend-community/0000019a-3683-da7a-abdb-bf931b7a0000,Haaretz,Ofer Aderet,2025-10-31T04:01:36,2025-10-31 04:11:25.385821,https://www.haaretz.com/israel-news/2025-10-31/ty-article/.premium/idf-oct-7-probe-lauds-ein-habesor-security-squad-army-failed-to-defend-community/0000019a-3683-da7a-abdb-bf931b7a0000
"Copy, paste, destroy: Netanyahu is doing to Israel's defense establishment what he did to its judiciary","As part of his 'reunification and healing' vision, the prime minister is applying the judicial overhaul model to the defense establishment ■ Tally Gotliv is a hand grenade he has planted in the security holy of holies. Yair Netanyahu is just a stink bomb ■ And whom did Simcha Rothman humiliate from the Knesset podium?",https://www.haaretz.com/israel-news/2025-10-31/ty-article/.premium/netanyahu-is-doing-to-israels-defense-establishment-what-he-did-to-its-judiciary/0000019a-36f1-d36c-a3bf-b6f57fce0000,Haaretz,Yossi Verter,2025-10-31T04:02:08,2025-10-31 04:11:25.385787,https://www.haaretz.com/israel-news/2025-10-31/ty-article/.premium/netanyahu-is-doing-to-israels-defense-establishment-what-he-did-to-its-judiciary/0000019a-36f1-d36c-a3bf-b6f57fce0000
Leak of Sde Teiman abuse video will aid Israeli right's war on an imaginary 'Deep State',,https://www.haaretz.com/israel-news/2025-10-31/ty-article/.premium/leak-of-sde-teiman-abuse-video-will-aid-israeli-rights-war-on-an-imaginary-deep-state/0000019a-36b4-d36c-a3bf-b6f5dbb50000,Haaretz,Amos Harel,2025-10-31T04:02:31,2025-10-31 04:11:25.385742,https://www.haaretz.com/israel-news/2025-10-31/ty-article/.premium/leak-of-sde-teiman-abuse-video-will-aid-israeli-rights-war-on-an-imaginary-deep-state/0000019a-36b4-d36c-a3bf-b6f5dbb50000
"Ellison’s Oracle poised to run TikTok, raising hopes for tougher antisemitism rules","Jewish advocates pleased that tech firm, co-founded by Israel supporter Larry Ellison, set to be one of the social media platform's new owners The post Ellison’s Oracle poised to run TikTok, raising hopes for tougher antisemitism rules appeared first on The Times of Israel .",https://www.timesofisrael.com/ellisons-oracle-poised-to-run-tiktok-raising-hopes-for-tougher-antisemitism-rules/,Times of Israel,,2025-10-31T03:36:49,2025-10-31 04:11:12.558381,https://www.timesofisrael.com/?p=3677949
IDF probe credits Ein Habesor residents with repelling Oct. 7 attack on moshav,"Left by the military to fend for itself, local security squad, reportedly with only a few guns, fought off Hamas terrorists assaulting community and evacuated wounded under fire The post IDF probe credits Ein Habesor residents with repelling Oct. 7 attack on moshav appeared first on The Times of Israel .",https://www.timesofisrael.com/idf-probe-credits-ein-habesor-residents-with-repelling-oct-7-attack-on-moshav/,Times of Israel,,2025-10-31T04:00:08,2025-10-31 04:11:12.558332,https://www.timesofisrael.com/?p=3677183
Several people reportedly wounded in Israeli strikes on four locations in Lebanon,,https://www.haaretz.com/israel-news/2025-10-31/ty-article-live/several-people-reportedly-wounded-in-israeli-strikes-on-four-locations-in-lebanon/0000019a-383a-d856-a9ff-7ebb6e850000,Haaretz,Haaretz,2025-10-31T03:14:24,2025-10-31 03:28:29.821154,https://www.haaretz.com/israel-news/2025-10-31/ty-article-live/several-people-reportedly-wounded-in-israeli-strikes-on-four-locations-in-lebanon/0000019a-383a-d856-a9ff-7ebb6e850000
