title,description,link,source,author,published,scraped_at,guid
"'Out of control': White House reportedly frustrated with Israel over Gaza strikes, West Bank annexation vote",Politico reports that Vice President Vance delivered a 'firm message' to Prime Minister Netanyahu during his visit to Israel,https://www.haaretz.com/israel-news/2025-10-24/ty-article/report-white-house-frustrated-with-israel-over-gaza-strikes-west-bank-annexation-vote/0000019a-14a6-d2fc-a79a-9ef62b950000,Haaretz,Haaretz,2025-10-24T05:58:43,2025-10-24 06:12:57.293599,https://www.haaretz.com/israel-news/2025-10-24/ty-article/report-white-house-frustrated-with-israel-over-gaza-strikes-west-bank-annexation-vote/0000019a-14a6-d2fc-a79a-9ef62b950000
"Heartbroken, these Israelis moved to Greece – but the war wouldn't let them be","Since Oct. 7, increasing numbers of Israelis have packed up and moved to Greece – some for good. But hostile graffiti, anger over the war in Gaza and a feeling of alienation have cast a pall over their lives. A Haaretz reporter set out to explore the encounter between locals, Greek Jews and the new arrivals",https://www.haaretz.com/israel-news/2025-10-24/ty-article-magazine/.highlight/heartbroken-these-israelis-moved-to-greece-but-the-war-wouldnt-let-them-be/0000019a-148f-de9d-adbe-fcef2f160000,Haaretz,Yishai Halper,2025-10-24T05:58:56,2025-10-24 06:12:57.293562,https://www.haaretz.com/israel-news/2025-10-24/ty-article-magazine/.highlight/heartbroken-these-israelis-moved-to-greece-but-the-war-wouldnt-let-them-be/0000019a-148f-de9d-adbe-fcef2f160000
"From Kfar Aza to Uruguay, an Israeli soccer squad bounces back","The extraordinary story of how an ordinary team that now consists of Oct. 7 survivors is set to play in the Masters Maccabiah Games. The post From Kfar Aza to Uruguay, an Israeli soccer squad bounces back appeared first on JNS.org .",https://www.jns.org/from-kfar-aza-to-uruguay-an-israeli-soccer-squad-bounces-back/,JNS,David Wiseman,2025-10-24T05:11:00,2025-10-24 06:12:49.946833,https://www.jns.org/?p=597819
IDF foils arms smuggling attempts from Syria to Lebanon,"The confiscated items included grenades, pistols, anti-tank rockets and ammunition. The post IDF foils arms smuggling attempts from Syria to Lebanon appeared first on JNS.org .",https://www.jns.org/idf-foils-arms-smuggling-attempts-from-syria-to-lebanon/,JNS,JNS Staff,2025-10-24T05:38:53,2025-10-24 06:12:49.946796,https://www.jns.org/?p=598406
IDF killed terrorists who took three hostages on Oct. 7,They were among eight Gazans involved in the massacre who were killed by the Israeli military. The post IDF killed terrorists who took three hostages on Oct. 7 appeared first on JNS.org .,https://www.jns.org/idf-killed-terrorists-who-took-three-hostages-on-oct-7/,JNS,JNS Staff,2025-10-24T05:59:12,2025-10-24 06:12:49.946757,https://www.jns.org/?p=598499
"Music Showcase Festival brings showbiz to Israel, in spite of growing cultural boycott","Annual event exposes local talent to industry professionals from Asia, UAE, North America and Europe The post Music Showcase Festival brings showbiz to Israel, in spite of growing cultural boycott appeared first on The Times of Israel .",https://www.timesofisrael.com/music-showcase-festival-brings-showbiz-to-israel-in-spite-of-growing-cultural-boycott/,Times of Israel,,2025-10-24T05:11:36,2025-10-24 06:12:45.368989,https://www.timesofisrael.com/?p=3669314
Family presses for release of Florida teenager held for months in Israeli prison,"'It's made our family numb,' says uncle of 16-year-old Mohammad Ibrahim, detained for alleged stone-throwing in February after cousin killed in West Bank settler attack The post Family presses for release of Florida teenager held for months in Israeli prison appeared first on The Times of Israel .",https://www.timesofisrael.com/family-presses-for-release-of-florida-teenager-held-for-months-in-israeli-prison/,Times of Israel,,2025-10-24T05:53:42,2025-10-24 06:12:45.368941,https://www.timesofisrael.com/?p=3672644
'We grew up like siblings. I knew she would be my wife',"This week at Ben-Gurion Airport: a couple who've known each other since childhood – he said he'd marry her when they were nine, but she was the one who ultimately proposed – and a medium who believes everyone is born with the ability to communicate with spirits",https://www.haaretz.com/israel-news/holylandings/2025-10-24/ty-article-magazine/.highlight/we-grew-up-like-siblings-i-knew-she-would-be-my-wife/0000019a-1477-de9d-adbe-fcf793540000,Haaretz,Mae Palty,2025-10-24T04:50:15,2025-10-24 05:09:37.442553,https://www.haaretz.com/israel-news/holylandings/2025-10-24/ty-article-magazine/.highlight/we-grew-up-like-siblings-i-knew-she-would-be-my-wife/0000019a-1477-de9d-adbe-fcf793540000
Indonesia and Azerbaijan to lead Gaza Stabilization Force,"Israel vetoed the inclusion of Turkish soldiers, Saudi Arabia and the United Arab Emirates declined to participate. The post Indonesia and Azerbaijan to lead Gaza Stabilization Force appeared first on JNS.org .",https://www.jns.org/indonesia-and-azerbaijan-to-lead-gaza-stabilization-force/,JNS,Ariel Kahana,2025-10-24T04:35:00,2025-10-24 05:09:30.405439,https://www.jns.org/?p=598366
Senators grill Trump’s pick for Kuwait ambassador over anti-Israel stances,"Amer Ghalib, a Michigan mayor who backed Trump during 2024 campaign, questioned by lawmakers over city adopting Israel boycott policy, liking of posts comparing Jews to monkeys The post Senators grill Trump&#8217;s pick for Kuwait ambassador over anti-Israel stances appeared first on The Times of Israel .",https://www.timesofisrael.com/senators-grill-trumps-pick-for-kuwait-ambassador-over-anti-israel-stances/,Times of Israel,,2025-10-24T05:00:12,2025-10-24 05:09:25.727447,https://www.timesofisrael.com/?p=3672635
"Man of God, man for good: Rabbi Moshe Hauer","There are no words because he is not here to write them. There are no words because he is not here to speak them. There are no words because he is not here. This is the situation I find myself in after last week’s sudden tragic passing of Rabbi Moshe Hauer, my co-executive vice president... Read More The post Man of God, man for good: Rabbi Moshe Hauer appeared first on eJewishPhilanthropy .",https://ejewishphilanthropy.com/man-of-god-man-for-good-rabbi-moshe-hauer/,eJewish Philanthropy,Rabbi Josh Joseph,2025-10-23T22:30:00,2025-10-24 05:09:18.820056,https://ejewishphilanthropy.com/?p=165049
Sa’ar: Hamas slow-walking return of dead hostages to delay disarmament,"The Israeli foreign minister hailed his country’s warm relations with Albania, noting a 1,000% rise of Israeli tourism in the Balkan state. The post Sa’ar: Hamas slow-walking return of dead hostages to delay disarmament appeared first on JNS.org .",https://www.jns.org/saar-hamas-slow-walking-return-of-dead-hostages-to-delay-disarmament/,JNS,JNS Staff,2025-10-24T04:01:00,2025-10-24 04:10:59.014968,https://www.jns.org/?p=598295
